epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr
1,4.629419575383632,0.022091310751104567,0.10456553768690274,4.394810085190075,0.0502793296505619,0.13966480455252045,0.0005
2,4.050554012163749,0.08836524300441827,0.22827687776141384,4.120025304442677,0.05027932969218526,0.23463687250734042,0.0005
3,3.6562459718145224,0.13402061860059253,0.34756995586127,3.909148412043822,0.12849161944575815,0.30726257083136277,0.0005
4,3.2705723343962947,0.21060382922636742,0.4624447717670137,3.8426229034722184,0.12290502809945432,0.32960893871397945,0.0005
5,2.879704305454979,0.29160530204625473,0.583210603960835,3.6142846379200173,0.145251395982071,0.4301675972658829,0.0005
6,2.6929463574742356,0.3210603830477275,0.6347569957573038,3.5835252261028607,0.12849162027822528,0.44134078162342477,0.0005
7,2.4819872589982137,0.37260677473446757,0.6863033873782066,3.5524787383372556,0.167597766362089,0.4748603355285176,0.0005
8,2.2809877276245025,0.41678939630251394,0.7245949928995787,3.5126711083524054,0.2122905037922566,0.5083798877686762,0.0005
9,2.0580208566648794,0.47275405024920364,0.7938144330774737,3.4239463779513395,0.24581005453397442,0.5083798894336103,0.0005
10,1.865607002873484,0.5243004419578895,0.8262150222668767,3.373201929657153,0.24581005453397442,0.5027932957563986,0.0005
11,1.7360143868666862,0.5508100149031064,0.8438880706921944,3.2646875155038675,0.30726256933292195,0.5195530746236193,0.0005
12,1.4870629135041946,0.6273932255947187,0.8807069219440353,3.246700216272024,0.2569832397239834,0.5642458112213199,0.0005
13,1.407147467750864,0.6494845363458231,0.8924889543446245,3.29282028581843,0.2681564255799661,0.5642458097228791,0.0005
14,1.1979584765890736,0.7054491900730554,0.9204712812960235,3.266906778239671,0.279329609937508,0.5754189964113289,0.0005
15,1.137631009797811,0.7216494846238655,0.93519882179676,3.2494323306909485,0.3296089372155387,0.575418991749513,0.0005
16,0.9846915905535308,0.7614138439758537,0.9396170839469808,3.279201145278675,0.3463687145843186,0.5865921807688708,0.0005
17,0.8892417974517693,0.8026509572901326,0.9572901325478645,3.1582637246094603,0.3407821239039885,0.6089385488179809,0.0005
18,0.8281938925231855,0.8203240058910162,0.9558173784977909,3.244575898740545,0.3631284919530986,0.6368715057159935,0.0005
19,0.8141020476291387,0.7982326951399117,0.9455081001472754,3.241984148931237,0.3743016754781734,0.6033519526433678,0.0005
