epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr
1,3.0899994062340777,0.05978260934352875,0.3315217404261879,2.7721478772717854,0.11627907115359638,0.4883720971817194,0.0005
2,2.609711968380472,0.20652173977831137,0.5543478234954502,2.4891449129858683,0.23255814230719277,0.6279069753580315,0.0005
3,2.3893194820569907,0.2826086956521739,0.6195652147997981,2.208533450614574,0.37209302672120026,0.6976744172184967,0.0005
4,2.0846912964530615,0.32065217261729034,0.7934782608695652,2.130154939584954,0.3953488358231478,0.6976744255354238,0.0005
5,1.7643804239190144,0.43478260869565216,0.842391304347826,2.044753202172213,0.2790697709072468,0.8372093092563541,0.0005
6,1.5090347061986509,0.5271739117477251,0.8967391330262889,1.9924248041108596,0.32558139881422354,0.8139534953028656,0.0005
7,1.445196359053902,0.5706521739130435,0.9021739130434783,1.9724323416865148,0.3953488406746887,0.8139534869859385,0.0005
8,1.3033569843872734,0.6086956495824067,0.9239130434782609,1.800431257070497,0.46511628253515375,0.8604651162790697,0.0005
9,1.0720387749049975,0.6521739156349845,0.9565217365389285,1.9074000286501507,0.4418604685816654,0.8372093023255814,0.0005
10,1.0624901885571687,0.6141304321911024,0.9619565217391305,1.569805852202482,0.46511628253515375,0.8604651162790697,0.0005
11,0.9272859873978988,0.7173913017563198,0.9565217391304348,1.8415965895320094,0.465116283228231,0.7674418590789618,0.0005
12,0.9024222648662069,0.6902173913043478,0.9782608695652174,1.683632113212763,0.5581395383491072,0.8604651162790697,0.0005
13,0.8288453454556672,0.7119565217391305,0.9891304347826086,1.7459722091985304,0.465116283228231,0.8604651232098424,0.0005
14,0.6632973759070687,0.8043478286784628,0.9891304347826086,1.8918308823607688,0.48837209648864216,0.7674418590789618,0.0005
15,0.7349271541056426,0.7717391304347826,0.9836956521739131,1.5514935005542845,0.5813953460649003,0.8837209302325582,0.0005
16,0.6081988966983297,0.7989130408867545,0.9891304347826086,1.7334570524304411,0.5581395321114119,0.8372093023255814,0.0005
17,0.6136586018230604,0.7989130434782609,0.9891304347826086,1.6540957522946735,0.5348837250886962,0.7906976730324501,0.0005
18,0.5045617767002272,0.8369565243306367,0.9945652173913043,1.6569174528121948,0.5348837181579235,0.8372093092563541,0.0005
19,0.4352853466635165,0.8804347800171893,0.9782608669737111,1.6012601810832356,0.6046511683353158,0.8604651162790697,0.0005
20,0.3931414899618729,0.8967391304347826,1.0,1.606390354245208,0.5581395321114119,0.8604651162790697,0.0005
21,0.35845190027485724,0.9293478234954502,1.0,1.5270613889361537,0.6511627893115199,0.9069767441860465,0.0005
22,0.27356179900791333,0.9510869565217391,0.9945652173913043,1.7816401553708454,0.4883720971817194,0.9069767441860465,0.0005
23,0.3505785724391108,0.8913043504175933,1.0,1.9447697428769843,0.5348837264748507,0.7441860534424005,0.0005
24,0.2889670924000118,0.9184782634610715,1.0,1.9525188401687976,0.5813953460649003,0.8372093092563541,0.0005
25,0.18384555046973022,0.9728260869565217,1.0,1.8740540077519972,0.5581395321114119,0.8139534869859385,0.00025
26,0.29962636076885724,0.9347826086956522,0.9891304321911024,1.8444991915724998,0.5813953543818274,0.813953488372093,0.00025
27,0.2054939373679783,0.9510869591132455,1.0,1.9386851732120958,0.5813953460649003,0.8139534953028656,0.00025
28,0.16675867788169696,0.9782608669737111,1.0,1.8562821815180224,0.6279069822888041,0.8139534953028656,0.00025
29,0.13629510448030804,0.9673913017563198,1.0,1.9062867663627447,0.6046511683353158,0.8139534953028656,0.000125
