epoch,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5,lr
1,1.7965121269226074,0.25,0.65625,0.9375,1.9281173944473267,0.375,0.625,1.0,9.993490290084226e-05
2,0.9551799595355988,0.71875,0.96875,1.0,1.5080130100250244,0.5,0.75,1.0,9.973979002999299e-05
3,0.893509179353714,0.78125,1.0,1.0,1.2491426467895508,0.625,0.75,1.0,9.941519617826906e-05
4,0.44616325199604034,0.90625,1.0,1.0,1.0256423950195312,0.625,0.875,1.0,9.896201103485579e-05
5,0.45950762927532196,0.90625,1.0,1.0,0.8695898652076721,0.625,0.875,1.0,9.838147674873076e-05
6,0.356362447142601,0.9375,1.0,1.0,0.740114688873291,0.75,1.0,1.0,9.767518452401982e-05
7,0.385100319981575,0.9375,0.9375,1.0,0.6408473253250122,0.75,1.0,1.0,9.684507025861709e-05
8,0.20625363290309906,1.0,1.0,1.0,0.5604089498519897,0.875,1.0,1.0,9.589340923802355e-05
9,0.2681623697280884,0.9375,0.9375,1.0,0.5102930068969727,0.875,1.0,1.0,9.482280989894749e-05
10,0.20163851976394653,1.0,1.0,1.0,0.49269038438796997,0.875,1.0,1.0,9.363620667976087e-05
11,0.22906818985939026,0.96875,1.0,1.0,0.47432923316955566,0.875,1.0,1.0,9.233685197740767e-05
12,0.2006453275680542,1.0,1.0,1.0,0.4577183425426483,0.875,1.0,1.0,9.092830723281003e-05
13,0.17959051579236984,1.0,1.0,1.0,0.4448994994163513,0.875,1.0,1.0,8.941443316920615e-05
14,0.19357872754335403,1.0,1.0,1.0,0.45485803484916687,0.875,1.0,1.0,8.779937921017626e-05
15,0.1879221647977829,1.0,1.0,1.0,0.5003008842468262,0.875,1.0,1.0,8.608757210636104e-05
16,0.1762911155819893,1.0,1.0,1.0,0.5460711121559143,0.875,1.0,1.0,8.42837038020458e-05
17,0.17570044100284576,1.0,1.0,1.0,0.5901648998260498,0.875,1.0,1.0,8.239271857486731e-05
18,0.16889288276433945,1.0,1.0,1.0,0.6283270716667175,0.875,1.0,1.0,8.04197994838925e-05
19,0.1725878268480301,1.0,1.0,1.0,0.6551346778869629,0.875,1.0,1.0,7.837035416321382e-05
20,0.1752564236521721,1.0,1.0,1.0,0.6755406856536865,0.875,1.0,1.0,7.625000000000004e-05
21,0.16672921180725098,1.0,1.0,1.0,0.6877354979515076,0.875,1.0,1.0,7.406454873762851e-05
22,0.16845081001520157,1.0,1.0,1.0,0.6961521506309509,0.875,1.0,1.0,7.181999054610056e-05
23,0.1703394129872322,1.0,1.0,1.0,0.7028210759162903,0.875,1.0,1.0,6.952247760340182e-05
