video_id,gloss,label,label_id,split,url,source,signer_id,frame_start,frame_end,fps,expected_video_stem,landmark_path,resolved_video_path,download_status,has_landmarks
65225,book,book,0,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,aslsignbank,90,1,-1,25,data\raw\WLASL100\videos\65225,,,missing,False
68208,book,book,0,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,lillybauer,113,1,60,25,data\raw\WLASL100\videos\68208,,,missing,False
7085,book,book,0,train,http://www.aslpro.com/main/b/book_english_grammar.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07085,,,missing,False
7086,book,book,0,train,http://www.aslpro.com/main/b/book_geography.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07086,,,missing,False
7087,book,book,0,train,http://www.aslpro.com/main/b/book_geometry.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07087,,,missing,False
7088,book,book,0,train,http://www.aslpro.com/main/b/book_history.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07088,,,missing,False
7089,book,book,0,train,http://www.aslpro.com/main/b/book_law.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07089,,,missing,False
7090,book,book,0,train,http://www.aslpro.com/main/b/book_literature.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07090,,,missing,False
7091,book,book,0,train,http://www.aslpro.com/main/b/book_math.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07091,,,missing,False
7092,book,book,0,test,http://www.aslpro.com/main/b/book_medicine.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07092,,,missing,False
7093,book,book,0,test,http://www.aslpro.com/main/b/book_music.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07093,,,missing,False
7094,book,book,0,val,http://www.aslpro.com/main/b/book_photography.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07094,,,missing,False
7095,book,book,0,test,http://www.aslpro.com/main/b/book_science.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07095,,,missing,False
7096,book,book,0,val,http://www.aslpro.com/main/b/book_spelling.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07096,,,missing,False
7097,book,book,0,train,http://www.aslpro.com/main/b/book.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07097,,,missing,False
7098,book,book,0,val,http://www.aslpro.com/main/b/book_trigonometry.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07098,,,missing,False
7099,book,book,0,val,http://www.aslsearch.com/signs/videos/book.mp4,aslsearch,12,1,-1,25,data\raw\WLASL100\videos\07099,,,missing,False
7071,book,book,0,train,https://www.handspeak.com/word/b/book2.mp4,handspeak,14,1,-1,25,data\raw\WLASL100\videos\07071,,,missing,False
7072,book,book,0,test,https://www.handspeak.com/word/b/book.mp4,handspeak,14,1,-1,25,data\raw\WLASL100\videos\07072,,,missing,False
7073,book,book,0,train,https://www.handspeak.com/word/b/books-pile.mp4,handspeak,14,1,-1,25,data\raw\WLASL100\videos\07073,,,missing,False
67424,book,book,0,train,https://youtu.be/3-GrhsVs830,asllex,109,1,-1,25,data\raw\WLASL100\videos\67424,,,missing,False
7074,book,book,0,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,signingsavvy,11,1,-1,25,data\raw\WLASL100\videos\07074,,,missing,False
7076,book,book,0,train,https://www.youtube.com/watch?v=XjWSfh50kAU,aslu,5,1,-1,25,data\raw\WLASL100\videos\07076,,,missing,False
7077,book,book,0,train,http://www.aslpro.com/main/b/book_accounting.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07077,,,missing,False
7078,book,book,0,train,http://www.aslpro.com/main/b/book_algebra.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07078,,,missing,False
7079,book,book,0,train,http://www.aslpro.com/main/b/book_anatomy.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07079,,,missing,False
7080,book,book,0,train,http://www.aslpro.com/main/b/book_art_history.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07080,,,missing,False
7081,book,book,0,train,http://www.aslpro.com/main/b/book_art.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07081,,,missing,False
7082,book,book,0,train,http://www.aslpro.com/main/b/book_business.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07082,,,missing,False
7083,book,book,0,val,http://www.aslpro.com/main/b/book_chemistry.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07083,,,missing,False
7084,book,book,0,train,http://www.aslpro.com/main/b/book_coloring.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07084,,,missing,False
65539,drink,drink,1,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,aslsignbank,94,1,-1,25,data\raw\WLASL100\videos\65539,,,missing,False
68538,drink,drink,1,val,https://www.youtube.com/watch?v=HZMTQJdBZ9g,lillybauer,113,1,71,25,data\raw\WLASL100\videos\68538,,,missing,False
68660,drink,drink,1,train,https://www.youtube.com/watch?v=Lk2Vws8homw,lillybauer,115,1,54,25,data\raw\WLASL100\videos\68660,,,missing,False
17726,drink,drink,1,train,https://www.youtube.com/watch?v=6gU3Ln98sWA,aslu,5,1,-1,25,data\raw\WLASL100\videos\17726,,,missing,False
17727,drink,drink,1,train,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,nabboud,65,1,-1,25,data\raw\WLASL100\videos\17727,,,missing,False
17732,drink,drink,1,train,http://www.aslpro.com/main/d/drink.swf,aslpro,44,1,-1,25,data\raw\WLASL100\videos\17732,,,missing,False
17733,drink,drink,1,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,aslsearch,12,1,-1,25,data\raw\WLASL100\videos\17733,,,missing,False
65540,drink,drink,1,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,aslsignbank,94,1,-1,25,data\raw\WLASL100\videos\65540,,,missing,False
17734,drink,drink,1,val,http://www.aslsearch.com/signs/videos/drink.mp4,aslsearch,12,1,-1,25,data\raw\WLASL100\videos\17734,,,missing,False
17714,drink,drink,1,train,https://www.handspeak.com/word/d/drink2.mp4,handspeak,20,1,-1,25,data\raw\WLASL100\videos\17714,,,missing,False
17715,drink,drink,1,train,https://www.handspeak.com/word/d/drink-alcohol.mp4,handspeak,14,1,-1,25,data\raw\WLASL100\videos\17715,,,missing,False
17716,drink,drink,1,test,https://www.handspeak.com/word/d/drink-british.mp4,handspeak,20,1,-1,25,data\raw\WLASL100\videos\17716,,,missing,False
17717,drink,drink,1,train,https://www.handspeak.com/word/d/drink.mp4,handspeak,14,1,-1,25,data\raw\WLASL100\videos\17717,,,missing,False
17718,drink,drink,1,test,https://www.handspeak.com/word/d/drink-mug.mp4,handspeak,20,1,-1,25,data\raw\WLASL100\videos\17718,,,missing,False
67594,drink,drink,1,train,https://youtu.be/yawcLQIhQiE,asllex,109,1,-1,25,data\raw\WLASL100\videos\67594,,,missing,False
17719,drink,drink,1,train,https://www.handspeak.com/word/d/drink-plu.mp4,handspeak,14,1,-1,25,data\raw\WLASL100\videos\17719,,,missing,False
17720,drink,drink,1,train,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,signingsavvy,11,1,-1,25,data\raw\WLASL100\videos\17720,,,missing,False
17721,drink,drink,1,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,signingsavvy,10,1,-1,25,data\raw\WLASL100\videos\17721,,,missing,False
17722,drink,drink,1,train,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,signingsavvy,10,1,-1,25,data\raw\WLASL100\videos\17722,,,missing,False
