video_id,gloss,label,label_id,split,url,source,signer_id,frame_start,frame_end,fps,expected_video_stem,landmark_path,resolved_video_path,download_status,has_landmarks,landmark_exists,landmark_shape,valid_frame_ratio,left_hand_ratio,right_hand_ratio,two_hand_ratio,movement_score,quality_score,quality_good,quality_reason
69302,drink,drink,15,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,aslbrick,115,1,-1,25,data\raw\WLASL500\videos\69302,data\landmarks\wlasl500\69302.npy,data\raw\WLASL500\videos\69302.mp4,found,True,True,64x126,0.65625,0.65625,0.0,0.0,0.0051967445760965,0.5708043614402414,True,ok
17725,drink,drink,15,train,https://www.youtube.com/watch?v=537MWOtCl78,aslu,5,1,-1,25,data\raw\WLASL500\videos\17725,data\landmarks\wlasl500\17725.npy,data\raw\WLASL500\videos\17725.mp4,found,True,True,64x126,0.65625,0.65625,0.03125,0.03125,0.0226949136704206,0.6109375000000001,True,ok
17728,drink,drink,15,train,https://www.youtube.com/watch?v=g3rl9_LYqzI,aslu,5,1,-1,25,data\raw\WLASL500\videos\17728,data\landmarks\wlasl500\17728.npy,data\raw\WLASL500\videos\17728.mp4,found,True,True,64x126,0.71875,0.71875,0.171875,0.171875,0.0502306893467903,0.6781250000000001,True,ok
17729,drink,drink,15,train,https://www.youtube.com/watch?v=i0opsQ2zB1Q,aslu,5,1,-1,25,data\raw\WLASL500\videos\17729,data\landmarks\wlasl500\17729.npy,data\raw\WLASL500\videos\17729.mp4,found,True,True,64x126,0.640625,0.640625,0.0,0.0,0.0072673079557716,0.5626995198894292,True,ok
17730,drink,drink,15,test,https://www.youtube.com/watch?v=k6cNmM9WgUs,aslu,5,1,-1,25,data\raw\WLASL500\videos\17730,data\landmarks\wlasl500\17730.npy,data\raw\WLASL500\videos\17730.mp4,found,True,True,64x126,0.625,0.625,0.0,0.0,0.0139370458200573,0.5660926145501435,True,ok
17731,drink,drink,15,train,https://www.youtube.com/watch?v=LqJM7wcUixQ,aslu,5,1,-1,25,data\raw\WLASL500\videos\17731,data\landmarks\wlasl500\17731.npy,data\raw\WLASL500\videos\17731.mp4,found,True,True,64x126,0.65625,0.65625,0.015625,0.015625,0.0173823162913322,0.6028307907283307,True,ok
17712,drink,drink,15,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,signschool,6,1,-1,25,data\raw\WLASL500\videos\17712,data\landmarks\wlasl500\17712.npy,data\raw\WLASL500\videos\17712.mp4,found,True,True,64x126,0.65625,0.65625,0.015625,0.015625,0.0112233310937881,0.5874333277344704,True,ok
12306,computer,computer,9,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,asl5200,9,5122,5181,25,data\raw\WLASL500\videos\12306,data\landmarks\wlasl500\12306.npy,data\raw\WLASL500\videos\12306.mp4,found,True,True,64x126,0.875,0.875,0.1875,0.1875,0.1157626211643219,0.8125000000000001,True,ok
12331,computer,computer,9,train,https://www.youtube.com/watch?v=fY11M3Dxxx0,aslu,5,1,-1,25,data\raw\WLASL500\videos\12331,data\landmarks\wlasl500\12331.npy,data\raw\WLASL500\videos\12331.mp4,found,True,True,64x126,0.671875,0.671875,0.53125,0.53125,0.0441381745040416,0.67421875,True,ok
12314,computer,computer,9,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\12314,data\landmarks\wlasl500\12314.npy,data\raw\WLASL500\videos\12314.mp4,found,True,True,64x126,0.859375,0.859375,0.578125,0.578125,0.0490855053067207,0.8382812500000001,True,ok
